ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
11352,3243003,Active,301223,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Bergen Street,St. Marks Place,40.67929002,-73.96838036,993020.2439,186761.6695,POINT (-73.968380357896 40.679290018452)
5854,3249866,Active,330703,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Prospect Place,Park Place,40.67741065,-73.96906031,992831.8896,186076.8936,POINT (-73.969060309586 40.677410648369)
15406,2033038,Active,220848,,,,Bronx,,,,,40.82683072,-73.8874825,1015389.581,240533.9537,POINT (-73.887482504384 40.826830716813)
5855,3249865,Active,312175,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,St. Mark's Avenue,Prospect Place,40.67808795,-73.96881442,992900.0066,186323.6792,POINT (-73.968814415408 40.678087952702)
15405,2083111,Active,213858,,,,Bronx,,,,,40.89263042,-73.85747534,1023655.148,264519.387,POINT (-73.85747534423 40.892630423602)
11354,3243005,Active,300943,2HR Pas  Mon-Thur 0900-1900 / Fri 0900-1600 / Sat 0900-1100  ,,On Street,Brooklyn,Vanderbilt Avenue,W,Dean Street,Bergen Street,40.67973541,-73.96821926,993064.8675,186923.9536,POINT (-73.968219262744 40.67973540724)
15404,2083110,Active,214290,,,,Bronx,,,,,40.894046,-73.85713952,1023747.155,265035.2902,POINT (-73.857139519808 40.894046000836)
3869,4353001,Retired,412603,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Flushing Avenue,S,61 Street,Fresh Pond Road,40.72114482,-73.90378037,1010921.391,202023.6846,POINT (-73.903780372768 40.721144819738)
2866,4233035,Active,418209,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,23 Street,W,33 Avenue,Broadway,40.76431814,-73.93056932,1003483.22,217746.0728,POINT (-73.930569324729 40.76431813674)
8055,4072180,Active,415485,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,34 Avenue,S,Steinway Street,41 Street,40.75645194,-73.92051225,1006271.763,214882.5276,POINT (-73.92051224972 40.75645193668)
5429,3193007,Active,311003,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Graham Avenue,W,Varet Street,Cook Street,40.7026749,-73.94250796,1000190.799,195285.1147,POINT (-73.942507960778 40.702674896836)
15388,4233182,Active,422809,,,,Queens,Astoria Blvd,,,,40.77194275,-73.92481722,1005074.244,220525.288,POINT (-73.92481722057 40.771942753819)
7481,2363003,Retired,209064,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,Bedford Park Boulevard,S,Decatur Avenue,Webster Avenue,40.86742813,-73.88389175,1016363.728,255326.41,POINT (-73.88389175103 40.86742812825)
3812,4313060,Retired,457487,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Jamaica Avenue,S,90 Street,92 Street,40.69294187,-73.85397514,1024744.162,191767.6037,POINT (-73.853975140761 40.692941865408)
3464,4203041,Active,465621,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Roosevelt Avenue,S,67 Street,68 Street,40.74612508,-73.89772803,1012588.431,211126.6733,POINT (-73.897728027152 40.746125084149)
13307,4433045,Active,443408,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,188 Street,W,Union Turnpike,80 Road,40.72892366,-73.78112768,1044912.706,204918.8934,POINT (-73.781127675149 40.728923655353)
6523,2262724,Active,205579,6HR Pas Mon-Fri 0800-2200,,On Street,Bronx,Broadway,E,Van Cortland Park South,Mansion Street,40.88815972,-73.89874968,1012245.529,262874.6498,POINT (-73.898749678943 40.88815971819)
7342,2103017,Active,211712,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,University Avenue,W,West 179 Street,West Burnside Avenue,40.85439039,-73.91188685,1008625.503,250567.2342,POINT (-73.911886847807 40.8543903905)
7979,1483103,Inactive,100493,3HR Com Mon-Fri 0800-1800 /3HR Pas Mon-Fri 1800-2200 /3HR Pas Sat 1000-2200,,On Street,Manhattan,Front Street,E,Gouverneur Ln.,Old Slip,40.7040784,-74.00789162,982061.9381,195791.3204,POINT (-74.007891623058 40.704078400299)
1059,4061164,Active,449221,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Northern Boulevard,N,150 Place,150 Street,40.76531447,-73.81453238,1035626.194,218155.8347,POINT (-73.814532379006 40.765314465314)
13841,4163108,Active,421792,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Merrick Boulevard,S,224 Street,225 Street,40.67761654,-73.7451376,1054942.083,186253.2296,POINT (-73.745137603055 40.677616541651)
7900,2043036,Active,221102,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,Webster Avenue,W,Clay Avenue,East 168 Street,40.83618103,-73.9075685,1009827.124,243934.1116,POINT (-73.907568503514 40.836181027717)
1686,3091486,Active,308494,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Gelston Avenue,W,86 Street,88 Street,40.62075638,-74.02561853,977138.0293,165435.7102,POINT (-74.025618530453 40.620756383016)
6710,2313033,Active,214178,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Edison Avenue,E,Westchester Avenue,Roberts Avenue,40.84655177,-73.83247658,1030598.894,247743.3851,POINT (-73.832476576925 40.846551766056)
588,1058410,Active,113607,2 HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,Broadway,W,West 170 Street,West 169 Street,40.84215943,-73.9393782,1001023.418,246104.5774,POINT (-73.939378198598 40.842159432892)
7191,2043030,Active,206605,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,Townsend Avenue,W,East 170 Street,East 171 Street,40.84012453,-73.91666666,1007308.167,245368.3508,POINT (-73.916666658344 40.840124532482)
7054,2233019,Active,213218,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Allerton Avenue,N,White Plains Road,Olinville Avenue,40.8654973,-73.86805244,1020745.689,254629.1374,POINT (-73.868052444247 40.86549729976)
5811,3602921,Active,301033,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,McDonald Avenue,E,Ditmas Avenue,Cortelyou Road,40.63685001,-73.97820293,990299.6345,171298.7608,POINT (-73.978202929964 40.636850010044)
5987,3623028,Active,319981,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Eldert Lane,E,Glenmore Avenue,Liberty Avenue,40.67871953,-73.86504643,1021681.967,186581.0757,POINT (-73.865046429619 40.678719530883)
8958,1133044,Retired,102231,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,East 10 Street,S,2 Avenue,1 Avenue,40.72883594,-73.98469225,988492.71,204811.5215,POINT (-73.984692248766 40.728835944125)
8772,1023133,Active,101171,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,Grand Street,N,Orchard Street,Allen Street,40.7173352,-73.99095272,986757.9861,200621.2058,POINT (-73.990952715901 40.717335203545)
14573,4293145,Active,448945,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,101 Avenue,S,75 Street,76 Street,40.67958599,-73.86222697,1022463.503,186897.9698,POINT (-73.862226966453 40.679585992869)
3733,4043022,Active,404601,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,75 Avenue,W,Austin Street,Queens Boulevard,40.71828555,-73.83799198,1029159.371,201008.8444,POINT (-73.837991979123 40.718285546494)
1675,3091462,Active,306082,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,5 Avenue,W,85 Street,86 Street,40.62200217,-74.02586237,977070.4701,165889.605,POINT (-74.025862373087 40.622002174926)
13719,3483059,Active,312273,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,West 5 Street,W,Kings Hwy,Quentin Road,40.60525612,-73.97819639,990304.3153,159788.273,POINT (-73.978196387863 40.60525611879)
1925,2013039,Active,211138,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,Morris Avenue,E,East Fordham Road,East 190 Street,40.86257786,-73.89972216,1011987.309,253553.8604,POINT (-73.899722162028 40.862577856776)
14492,4123058,Active,466703,2 HR Pas Mon-Sat 0900-2200,,On Street,Queens,37 Avenue,N,75 Street,74 Street,40.74905957,-73.89136953,1014348.974,212197.9198,POINT (-73.891369526466 40.749059567349)
2966,4293036,Active,411447,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,114 Street,E,Liberty Avenue,107 Avenue,40.68541579,-73.82843918,1031830.902,189038.4766,POINT (-73.828439181485 40.685415790394)
10924,1433242,Active,102303,6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,East 54 Street,S,Park Avenue,Lexington Avenue,40.75937943,-73.97156669,992126.9885,215940.3972,POINT (-73.971566693461 40.759379433801)
11924,1193057,Active,103995,3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-2200 /2HR Pas Sat 0900-2200,,On Street,Manhattan,Lexington Avenue,W,East 68 Street,East 67 Street,40.76744625,-73.96448171,994088.5761,218880.1213,POINT (-73.964481713173 40.767446253081)
3698,4043070,Active,455959,6HR Pas Mon-Sat 0730-1900,,On Street,Queens,Queens Boulevard,S,83 Avenue,Van Wyck Expressway,40.71160769,-73.82492471,1032786.538,198582.8739,POINT (-73.824924706286 40.711607694261)
14118,3423086,Active,309329,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,3 Avenue,W,96 Street,97 Street,40.61635734,-74.03405543,974795.2354,163833.82,POINT (-74.034055429156 40.616357337236)
9201,1393015,Active,114087,2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900,,On Street,Manhattan,West End Avenue,W,West 66 Street,West 65 Street,40.775679,-73.98763077,987675.856,221877.8312,POINT (-73.987630773489 40.775678995154)
11912,1193045,Active,111103,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,East 77 Street,S,3 Avenue,Lexington Avenue,40.77353365,-73.95971184,995408.8113,221098.5339,POINT (-73.959711843436 40.773533648967)
11759,1083096,Active,112393,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,Broadway,W,West 80 Street,West 79 Street,40.78438799,-73.97979088,989846.5095,225051.216,POINT (-73.97979087614 40.784387988745)
14990,3423093,Active,313092,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,4 Avenue,W,61 Street,62 Street,40.63999205,-74.01950816,978835.8917,172443.3405,POINT (-74.019508162531 40.639992048143)
7490,2213016,Active,208801,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,Third Avenue,W,East 138 Street,East 137 Street,40.81093532,-73.9276028,1004290.95,234730.9683,POINT (-73.92760279693 40.810935316169)
706,1074880,Retired,106113,"Rate NOT Available - Please request a NEW PERSO, and Once it is Ready, Please Create a New Report",,On Street,Manhattan,3 Avenue,E,East 67 Street,East 68 Street,40.76693412,-73.96250823,994635.3112,218693.7631,POINT (-73.962508230472 40.766934122735)
7752,1409949,Active,104161,3HR Com Mon-Sat 0700-1900 /2HR Pas Mon-Sat 1900-2300,,On Street,Manhattan,9 Avenue,E,West 52 Street,West 51 Street,40.76441053,-73.98812892,987538.4419,217772.3342,POINT (-73.988128922841 40.764410527099)
1453,4181662,Retired,412288,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,23 Avenue,N,31 Street,29 Street,40.77463489,-73.91314451,1008306.396,221509.1138,POINT (-73.913144510734 40.774634891758)
8490,1473014,Active,104504,3HR Com Mon-Fri 0700-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0800-2200,,On Street,Manhattan,Broadway,W,East 9 Street,East 8 Street,40.73093756,-73.99221742,986406.9599,205576.9314,POINT (-73.992217416005 40.73093756158)
15091,1013033,Active,110250,2 HR Pas Mon-Fri 1300-1900 /2 HR Pas Sat 0900-1900,,On Street,Manhattan,Amsterdam Avenue,E,West 125 Street,West 126 Street,40.81389599,-73.95576652,996494.1412,235804.4556,POINT (-73.955766520857 40.813895985826)
3568,4463015,Active,424255,2 HR Pas Mon-Sat 0930-1900,,On Street,Queens,Jamaica Avenue,S,116 Street,117 Street,40.69923626,-73.83293211,1030575.226,194071.2638,POINT (-73.832932108366 40.699236264536)
3684,4043041,Retired,404969,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Queens Boulevard *N SR,S,76 Road,75 Avenue,40.71777497,-73.8356174,1029817.964,200824.0538,POINT (-73.835617400326 40.717774973707)
2923,4233134,Active,415553,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,32 Street,E,31 Avenue,Broadway,40.76181218,-73.92435422,1005205.674,216834.4945,POINT (-73.924354220251 40.761812175176)
10194,1443715,Active,107347,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,3 Avenue,W,East 28 Street,East 29 Street,40.74231033,-73.98075626,989582.5346,209720.8785,POINT (-73.980756256727 40.742310327534)
4057,3063189,Active,319453,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Nostrand Avenue,W,Avenue R,Avenue S,40.60526422,-73.94289467,1000106.712,159795.6401,POINT (-73.942894673091 40.605264221526)
2490,4173069,Active,400612,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Queens Boulevard,N,67 Road,67 Avenue,40.72699002,-73.85305917,1024977.36,204172.7813,POINT (-73.853059171771 40.726990016703)
13944,4273006,Active,432549,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Northern Boulevard,S,99 Street,100 Street,40.75720239,-73.86883814,1020587.45,215173.155,POINT (-73.868838141256 40.757202389313)
9803,1443346,Inactive,102501,3HR Com Mon-Sat 0700-1800 /6HR Pas Mon-Sat 1800-2400,,On Street,Manhattan,West 32 Street,N,7 Avenue,6 Avenue,40.74892796,-73.98957592,987138.2764,212131.4803,POINT (-73.989575919528 40.748927961389)
14703,4213087,Active,403333,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Union Turnpike,S,223 Street,Springfield Boulevard,40.73555017,-73.74721688,1054304.438,207358.4347,POINT (-73.747216883862 40.735550174503)
9824,1443368,Active,104097,3HR Com Mon-Fri 0800-1800,,On Street,Manhattan,East 31 Street,N,Lexington Avenue,Park Avenue South,40.74496574,-73.98210632,989208.2279,210688.2522,POINT (-73.982106319879 40.744965744439)
2169,4081837,Active,424074,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Hillside Avenue,N,150 Street,148 Street,40.70617905,-73.80855065,1037330.271,196614.557,POINT (-73.808550651383 40.706179050692)
2696,4443033,Active,403737,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,110 Street,W,Liberty Avenue,103 Avenue,40.68463745,-73.83205714,1030828.038,188752.9624,POINT (-73.832057138903 40.684637454879)
4715,3123152,Active,329280,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,53 Street,N,9 Avenue,8 Avenue,40.63931596,-74.00517449,982813.9067,172196.4631,POINT (-74.005174491419 40.639315960659)
14879,2023047,Active,223277,2 HR Pas Mon-Sat 0800-1900,,On Street,Bronx,3 Avenue,E,East 161 Street,East 163 Street,40.82286802,-73.90923278,1009371.619,239083.2161,POINT (-73.909232784415 40.822868022985)
455,1038132,Active,113341,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,West 96 Street,S,Broadway,Amsterdam Avenue,40.79419394,-73.97091219,992304.0961,228624.553,POINT (-73.970912190375 40.794193941182)
1207,4152084,Active,426968,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,29 Street,W,39 Avenue,38 Avenue,40.75376894,-73.9343095,1002450.023,213901.859,POINT (-73.934309504556 40.753768944096)
4147,3063196,Active,317330,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Gravensend Neck Road,N,Homecrest Avenue,East 13 Street,40.59442515,-73.95772275,995991.2357,155844.3527,POINT (-73.957722745005 40.594425147844)
12371,2243022,Active,207785,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,West 236 Street,S,Johnson Avenue,Oxford Avenue,40.88656789,-73.90947477,1009280.662,262291.4358,POINT (-73.90947476703 40.886567887664)
5155,3423047,Active,322099,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,3 Avenue,E,92 Street,91 Street,40.6199833,-74.03238909,975258.348,165154.6763,POINT (-74.032389087893 40.619983295294)
1745,3013615,Inactive,300108,6HR Pas Mon-Sat 0800-2200,,On Street,Brooklyn,Willoughby Street,S,Ashland Place,Fleet Street,40.69189808,-73.97943353,989953.3806,191354.2384,POINT (-73.97943353059 40.691898076726)
198,1019682,Active,114795,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,St. Nicholas Avenue,E,West 125 Street,West 126 Street,40.81130655,-73.9520738,997516.8275,234861.5684,POINT (-73.952073804167 40.811306546864)
2362,4413052,Active,466069,2 HR Pas Mon-Sat 0830-2200,,On Street,Queens,90 Street,E,56 Avenue,Justice Avenue,40.73587644,-73.87263473,1019546.929,207401.8851,POINT (-73.872634732792 40.735876441546)
4259,3123072,Active,338109,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,4 Avenue,W,31 Street,32 Street,40.65677538,-74.0020536,983680.2078,178557.3742,POINT (-74.002053596689 40.656775382665)
10135,1403095,Active,106278,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,West 58 Street,S,10 Avenue,9 Avenue,40.76885337,-73.98596703,988137.0549,219391.0964,POINT (-73.985967029951 40.768853367064)
5387,3383042,Active,321398,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,Rockaway Parkway,W,Avenue L,Avenue M,40.63851559,-73.89508142,1013368.734,171922.2612,POINT (-73.89508141873 40.63851558707)
11797,1183033,Active,107197,2HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,East 64 Street,S,5 Avenue,Madison Avenue,40.76679105,-73.96942535,992719.2705,218640.8935,POINT (-73.969425350558 40.766791052504)
11494,1433316,Active,103696,3HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,East 45 Street,N,Madison Avenue,5 Avenue,40.75531711,-73.97915239,990025.8454,214459.7699,POINT (-73.979152392327 40.75531711221)
3474,4203022,Retired,429620,2HR Pas Mon-Sat 0730-1900,,On Street,Queens,Queens Boulevard,S,61 Street,64 Street,40.7409623,-73.90187385,1011441.777,209244.3946,POINT (-73.901873848194 40.740962302689)
840,1218208,Active,111053,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,Broadway,W,West 93 Street,West 92 Street,40.79243831,-73.97361356,991556.3092,227984.6783,POINT (-73.973613559672 40.79243830798)
53,4451770,Active,468943,2 HR Pas Mon-Sat 1000-1900,,On Street,Queens,64 Avenue,N,Yellowstone Boulevard,108 Street,40.73287786,-73.84996959,1025830.019,206319.3555,POINT (-73.849969594758 40.732877862074)
11011,1433367,Active,106966,1HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,East 52 Street,N,Madison Avenue,Park Avenue,40.75870893,-73.97359638,991564.7692,215695.9361,POINT (-73.97359638402 40.758708933622)
4350,3163049,Active,314288,2 HR Pas Mon-Sat 0800-1900,,On Street,Brooklyn,East 21 Street,E,Kenmore Ter.,Church Avenue,40.65003401,-73.9598882,995380.5699,176103.8486,POINT (-73.959888195124 40.650034013675)
10447,1453044,Active,102397,3HR Com Mon-Fri 0800-1900,,On Street,Manhattan,East 21 Street,S,Broadway,5 Avenue,40.74006323,-73.99017101,986973.7531,208901.7565,POINT (-73.990171008593 40.740063229648)
4046,3063169,Active,311667,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,East 28 Street,W,Avenue T,Avenue U,40.60046595,-73.94391852,999823.5358,158047.3221,POINT (-73.943918515175 40.600465947315)
14611,1263091,Active,112076,2 HR Pas Mon-Sat 0900-1900,,On Street,Manhattan,2 Avenue,E,East 112 Street,East 111 Street,40.79400507,-73.93984546,1000906.179,228560.1213,POINT (-73.939845462316 40.794005066905)
3179,4193009,Active,467692,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,103 Street,E,Roosevelt Avenue,39 Avenue,40.75021046,-73.86280369,1022263.24,212628.3337,POINT (-73.862803688094 40.750210463165)
1370,3131528,Active,304366,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,67 Street,S,21 Avenue,Bay Parkway,40.61283686,-73.98297499,988976.8806,162549.84,POINT (-73.982974990572 40.612836861118)
12151,2013159,Active,214163,2 HR Pas Sat 0800-1900,,On Street,Bronx,East Fordham Road,S,Marion Avenue,Webster Avenue,40.86177413,-73.89225581,1014052.895,253263.4853,POINT (-73.892255808364 40.861774133643)
1764,3013597,Active,342674,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Hanover Place,E,Grove Place,Fulton Street,40.68924014,-73.98213191,989205.2785,190385.7105,POINT (-73.982131909709 40.689240141264)
816,1389695,Active,114753,2 HR Pas Mon-Sat 1300-1900,,On Street,Manhattan,Amsterdam Avenue,W,West 108 Street,West 109 Street,40.80204304,-73.96466566,994032.5391,231484.8875,POINT (-73.964665657145 40.802043035675)
11931,1193064,Active,105577,2HR Com Mon-Fri 0700-1600 /2HR Pas Mon-Fri 1600-2200 /2HR Pas Sat 0900-2200,,On Street,Manhattan,Lexington Avenue,E,East 69 Street,East 68 Street,40.76834783,-73.96361699,994327.9693,219208.6932,POINT (-73.963616986076 40.768347827798)
7605,2093045,Active,214126,2 HR Pas Mon-Sat 0900-2000,,On Street,Bronx,White Plains Road,W,Maran Place,Brady Avenue,40.85270663,-73.86786756,1020803.856,249969.0844,POINT (-73.867867560163 40.852706627345)
6141,3573013,Active,320251,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,East 17 Street,E,Avenue Y,Avenue X,40.59062224,-73.9528375,997348.712,154459.5494,POINT (-73.95283749774 40.59062223885)
3090,4283032,Retired,444537,2HR Pas Mon-Sat 0900-1900,,On Street,Queens,Francis Lewis Boulevard,E,43 Avenue,42 Avenue,40.75834703,-73.78349417,1044230.313,215637.1049,POINT (-73.783494173976 40.758347031623)
5338,3383114,Active,335324,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Avenue L,N,East 56 Street,East 57 Street,40.62400531,-73.92118018,1006130.135,166628.1858,POINT (-73.921180179968 40.624005314781)
290,4152147,Active,422274,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,47 Road,N,Vernon Boulevard,11 Street,40.74480154,-73.95317808,997224.0958,210631.3885,POINT (-73.953178078987 40.744801540521)
4863,3403052,Active,304250,2 HR Pas Mon-Fri 1000-1600 /2 HR Pas Sat 0830-1900,,On Street,Brooklyn,Nostrand Avenue,E,Fulton Street,Herkimer Street,40.67990643,-73.94948551,998260.9205,186988.7035,POINT (-73.949485509891 40.67990643156)
5646,3103056,Active,311446,2 HR Pas 0830-1900 Mon-Thur/ 4Hr Pas 0830-1900 Fri,,On Street,Brooklyn,18 Avenue,W,49 Street,50 Street,40.62789584,-73.98152172,989379.2148,168036.3057,POINT (-73.981521717848 40.627895842725)
11705,2753001,Active,223525,15HR Pas Mon-Sat 0700-2200,White Plains Road,Off Street,Bronx,White Plains Road,W,Brady Avenue,Maran Place,40.85313459,-73.86797816,1020773.024,250124.9601,POINT (-73.867978160103 40.853134586837)
2640,4081974,Active,420103,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Merrick Boulevard,E,89 Avenue,90 Avenue,40.70740978,-73.79493415,1041104.457,197071.4927,POINT (-73.794934150397 40.707409782363)
6103,3233022,Active,300621,2 HR Pas Mon-Sat 0700-2200,,On Street,Brooklyn,Grand Street,N,Lorimer Street,Union Avenue,40.71116182,-73.94968905,998197.9242,198375.9297,POINT (-73.949689054649 40.711161818463)
2956,4293045,Active,417021,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,116 Street,W,Liberty Avenue,107 Avenue,40.68552448,-73.82674777,1032299.923,189078.9989,POINT (-73.826747765061 40.685524480695)
293,4152148,Active,413307,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,47 Road,S,Vernon Boulevard,11 Street,40.74471153,-73.95316638,997227.354,210598.5956,POINT (-73.953166383834 40.744711527413)
14424,3593037,Active,318988,2 HR Pas Mon-Sat 0900-1900,,On Street,Brooklyn,Foster Avenue,S,Utica Avenue,East 51 Street,40.63976251,-73.92863784,1004055.235,172367.1776,POINT (-73.928637842601 40.639762509032)
11783,1193009,Active,109127,3HR Com Mon-Fri 0700-1000 /2HR Pas Mon-Fri 1000-1900 /2HR Pas Sat 0900-1900,,On Street,Manhattan,Lexington Avenue,W,East 82 Street,East 81 Street,40.77670812,-73.95772214,995959.3516,222255.358,POINT (-73.957722138503 40.77670811506)
7395,2053017,Active,205328,2 HR Pas Mon-Sat 0830-1900,,On Street,Bronx,East Tremont Avenue,S,Prospect Avenue,Marmion Avenue,40.84394428,-73.88832229,1015149.219,246768.7565,POINT (-73.888322288753 40.843944278917)
1278,1149971,Active,102677,2HR Com Mon-Fri 0730-1800 /2HR Pas Mon-Fri 1800-2200 /2HR Pas Sat 0730-2200,,On Street,Manhattan,7 Avenue South,W,West 10 Street,West 4 Street,40.733908,-74.0027536,983486.8683,206659.072,POINT (-74.002753598329 40.733908001773)
1900,5053266,Active,501611,2 HR Pas Mon-Sat 0900-1700,,On Street,Staten Island,New Dorp Lane,E,Clawson Street,Edison Street,40.57220976,-74.11290056,952884.8429,147768.11,POINT (-74.112900556461 40.572209760194)
2952,4293042,Active,426659,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,116 Street,E,103 Avenue,Liberty Avenue,40.68603346,-73.82688129,1032262.525,189264.3623,POINT (-73.826881287155 40.686033462978)
2567,4173014,Active,464018,2 HR Pas Mon-Sat 0830-1900,,On Street,Queens,Booth Street,S,63 Avenue,63 Drive,40.72870204,-73.86349932,1022082.712,204791.8437,POINT (-73.863499317309 40.728702043994)
10947,1433277,Active,104616,3HR Com Mon-Fri 0700-1800 /6HR Pas Mon-Fri 1800-2400 /6HR Pas Sat 0800-2400,,On Street,Manhattan,East 56 Street,S,Lexington Avenue,3 Avenue,40.76001569,-73.96918671,992786.2437,216172.4306,POINT (-73.969186707041 40.760015693884)
8911,1113096,Active,100034,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,South Street,W,Old Slip,Broad Street,40.70222638,-74.00980705,981530.7843,195116.6282,POINT (-74.009807048473 40.702226381292)
10380,2023017,Active,221221,2 HR Pas Mon-Sat 0900-1900,,On Street,Bronx,East 149 Street,S,Park Avenue,Morris Avenue,40.81774736,-73.92453968,1005136.742,237213.5548,POINT (-73.924539681299 40.817747361044)
3850,4263005,Active,460733,2 HR Pas Mon-Fri 0800-1500 / 2 HR Pas Sat 0800-1900,,On Street,Queens,Fresh Pond Road,W,Woodbine Street,Madison Street,40.70740053,-73.89747092,1012676.187,197018.2087,POINT (-73.897470917417 40.707400528481)
14949,4493150,Active,466125,2 HR Pas Mon-Sat 0800-1900,,On Street,Queens,Eliot Avenue,N,81 Street,80 Street,40.72534093,-73.87865596,1017883.575,203561.1031,POINT (-73.878655961441 40.725340927192)
11987,1263039,Active,104938,3HR Com Mon-Fri 1000-1400 /2HR Pas Sat 0900-1900,,On Street,Manhattan,1 Avenue,E,East 73 Street,East 74 Street,40.76879565,-73.95512856,996679.151,219372.9393,POINT (-73.955128557567 40.768795647472)
9178,1323051,Active,104487,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,Hudson Street,E,Grove Street,Christopher Street,40.73287063,-74.00633782,982493.5117,206281.1774,POINT (-74.006337815638 40.732870632572)
