ObjectID,Meter Number,Status,Pay By Cell Number,Meter_Hours,Parking_Facility_Name,Facility,Borough,On_Street,Side_of_Street,From_Street,To_Street,Latitude,Longitude,X,Y,Location
10655,1453275,Active,102581,2HR Pas Mon-Sat 0830-1900,,On Street,Manhattan,Broadway,E,East 21 Street,East 20 Street,40.73942666,-73.98961761,987127.1343,208669.8517,POINT (-73.989617613032 40.739426660216)
2350,4413140,Active,468769,2 HR Pas Mon-Sat 0900-1900,,On Street,Queens,Cornish Avenue,E,Broadway,Poyer Street,40.74066913,-73.88060765,1017335.003,209144.901,POINT (-73.880607653229 40.740669134654)
850,1218198,Active,111161,2HR Pas Mon-Sat 0830-2200,,On Street,Manhattan,Broadway,W,West 106 Street,West 105 Street,40.80092482,-73.96811084,993078.8655,231077.1166,POINT (-73.968110843733 40.800924820798)
8296,1243011,Active,106321,2HR Pas Mon-Sat 1800-2200,,On Street,Manhattan,MulBerry Street,E,Hester Street,Grand Street,40.71852543,-73.99765438,984900.2139,201054.7203,POINT (-73.997654382938 40.718525428492)
1546,3441574,Active,307945,2 HR Pas Mon-Sat 0830-1900,,On Street,Brooklyn,11 Avenue,W,65 Street,66 Street,40.62834608,-74.00633621,982491.203,168199.8608,POINT (-74.006336206983 40.628346077414)
8806,1023176,Retired,116015,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,East Broadway,S,Forsythe Street,Pike Street,40.71375399,-73.9929416,986206.7543,199316.4092,POINT (-73.992941603396 40.713753988145)
591,1058363,Active,108904,2 HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,St. Nicholas Avenue,W,West 179 Street,West 178 Street,40.84775853,-73.93499685,1002234.178,248145.4073,POINT (-73.934996847351 40.847758527684)
9290,1143022,Active,103416,2HR Pas Mon-Sat 0800-1900,,On Street,Manhattan,Waverly Place,S,Washington Square East,Greene Street,40.73050206,-73.99523673,985570.1601,205418.205,POINT (-73.995236726713 40.730502060991)
11290,4053021,Active,466140,3HR Pas Mon-Sat 0900-2200,,On Street,Queens,Austin Street,N,70 Road,70 Avenue,40.72085562,-73.84652528,1026792.264,201940.94,POINT (-73.846525276429 40.720855620097)
12433,5790205,Active,525706,18HR Pas Mon-Sat 0000-2400,Ferry Terminal #1,Off Street,Staten Island,Richmond Terrace,S,Dead End,Schuyler Street,40.64286599,-74.07288823,964022.1736,173498.2069,POINT (-74.072888228751 40.642865985635)
